image_id,probe_id,error,x_estimated,y_estimated,z_estimated,x_transformed,y_transformed,z_transformed,x_gt,y_gt,z_gt,centroid_x,centroid_y,error_no_z
image_001,probe_1,0.1238780829589884,1.351824164390564,-0.3885603547096252,0.0740978121757507,1.4330859273843104,-0.4183673547096252,0.0138913061622775,1.31,-0.42,0.0,398.0,167.0,0.05232314997162824
image_001,probe_2,0.1106025360294899,1.3517310619354248,0.949546217918396,0.0481185652315616,1.4241130139308946,0.919739217918396,-0.0104893575697011,1.315,0.905,0.0,139.0,172.0,0.05773678586254381
image_001,probe_3,0.1500698608383582,1.148544192314148,-0.8713101148605347,0.0057996967807412,1.218705906454263,-0.9011171148605348,0.0192379162968164,1.07,-0.895,0.0,521.0,180.0,0.08203902001001054
image_001,probe_4,0.1715735850178685,1.164195895195007,0.4003243446350097,-0.0208529029041528,1.2242979701899106,0.3705173446350097,-0.0111605326144417,1.055,0.345,0.0,233.0,186.0,0.12241130109892763
image_001,probe_5,0.1372752618402183,0.829852819442749,-0.3475242555141449,-0.1196497157216072,0.8763277490147046,-0.3773312555141449,0.010352898112562,0.74,-0.365,0.0,433.0,219.0,0.09153649986287521
image_002,probe_1,0.1468987602172511,1.4489848613739014,0.3082871437072754,0.0960215479135513,1.531885476609245,0.2784801437072753,0.0012619633472861,1.385,0.28,0.0,268.0,164.0,0.06995873772555807
image_002,probe_2,0.1515967074483838,1.1892056465148926,0.6575925350189209,0.0014525365550071,1.2554283585536612,0.6277855350189209,0.0012458855177512,1.11,0.585,0.0,178.0,181.0,0.10743933441861674
image_002,probe_3,0.1353245394776092,0.9622024297714232,-0.6305282115936279,-0.0577761866152286,1.0218576944974789,-0.660335211593628,0.0232287641420985,0.89,-0.68,0.0,494.0,197.0,0.08752513189377184
image_002,probe_4,0.1857771096666433,0.816922664642334,0.2621547281742096,-0.1646730601787567,0.8487784872388997,0.2323477281742096,-0.0275328330388624,0.67,0.19,0.0,239.0,234.0,0.1636843736692596
image_002,probe_5,0.149961150041939,0.5057076215744019,-0.3426203429698944,-0.257063090801239,0.524732756275031,-0.3724273429698944,-0.0079092494137948,0.375,-0.37,0.0,500.0,314.0,0.1335444793195258
image_003,probe_1,0.2278457676430589,1.530731201171875,-0.7387785911560059,0.1190101280808448,1.6165644663773295,-0.7685855911560059,-0.0050947323612146,1.39,-0.745,0.0,449.0,161.0,0.14086865127232143
image_003,probe_2,0.1961310592776015,1.3795373439788818,0.3797688782215118,0.0650263354182243,1.4560251699611826,0.3499618782215118,-0.0041115592612073,1.26,0.345,0.0,251.0,169.0,0.1244911703628327
image_003,probe_3,0.1890851706295172,1.1241499185562134,0.1882176250219345,-0.0286707505583763,1.1839932000750752,0.1584106250219345,-0.0048103756959272,0.995,0.155,0.0,279.0,188.0,0.13335333544825342
image_003,probe_4,0.1071922966819216,0.9971870183944702,0.8961581587791443,-0.0636230185627937,1.0527327199670793,0.8663511587791443,0.0057691052909522,0.955,0.91,0.0,89.0,198.0,0.04439978704226804
image_003,probe_5,0.2108291346006079,0.6835298538208008,-0.1338587701320648,-0.1874963641166687,0.7156242175600043,-0.1636657701320648,-0.0033566950554776,0.505,-0.155,0.0,374.0,253.0,0.17977725191359828
image_004,probe_1,0.1110353050508878,1.140071153640747,0.570884108543396,-0.0247831102460622,1.2002839184946257,0.541077108543396,-0.0066025718877097,1.09,0.53,0.0,192.0,187.0,0.06464232946222989
image_004,probe_2,0.1824597587901173,0.984255850315094,-0.3322204053401947,-0.0732697769999504,1.037282011041443,-0.3620274053401947,0.0011268375329285,0.855,-0.37,0.0,412.0,201.0,0.13466392469157126
image_004,probe_4,0.1886391065481582,0.6251482963562012,0.3021464943885803,-0.2264815866947174,0.6474297674068044,0.2723394943885803,-0.0200231523801481,0.46,0.265,0.0,197.0,276.0,0.16927439804860175
image_004,probe_5,0.1807952820589758,0.4809712767601013,-0.2300167828798294,-0.2644266486167907,0.4989697104883552,-0.2598237828798294,-0.006368402157059,0.32,-0.235,0.0,448.0,326.0,0.1610483914686635
image_005,probe_1,0.135264077358295,1.1184488534927368,0.5257615447044373,-0.0243103727698326,1.1801272883404978,0.4959545447044372,0.0012369182259253,1.045,0.49,0.0,200.0,187.0,0.08169224050694773
image_005,probe_2,0.1536023886241838,0.8994591236114502,-0.114032857120037,-0.1021524220705032,0.9477207062845744,-0.143839857120037,0.0029882177120792,0.795,-0.16,0.0,356.0,211.0,0.11412574963705235
image_005,probe_3,0.2280445577428354,0.7155575752258301,-0.3508263528347015,-0.1688820123672485,0.7520869142781486,-0.3806333528347015,0.0031809480588229,0.525,-0.36,0.0,451.0,243.0,0.19077826206950643
image_005,probe_4,0.1571311831900946,0.6950294375419617,0.5565255880355835,-0.1799937039613723,0.7289963524265273,0.5267185880355835,-0.0002395899437782,0.59,0.6,0.0,114.0,249.0,0.1136714882722692
image_005,probe_5,0.1907591834853954,0.5082975029945374,-0.1592608094215393,-0.2716221809387207,0.52218694663873,-0.1890678094215393,-0.0224761105958545,0.335,-0.16,0.0,405.0,321.0,0.17329907947491516
image_006,probe_1,0.1214921499930228,1.2150648832321167,-0.6867815852165222,0.0524768941104412,1.2971794505602023,-0.7165885852165222,0.0403487179446169,1.185,-0.74,0.0,471.0,170.0,0.061123619623081014
image_006,probe_3,0.1917524510679455,1.0278984308242798,0.4478513300418854,-0.081341378390789,1.075531971633417,0.4180443300418853,-0.0213846283728216,0.885,0.415,0.0,209.0,202.0,0.14662595751626775
image_006,probe_4,0.1722335713222904,0.747234046459198,-0.3771305084228515,-0.1416737288236618,0.7911588415859043,-0.4069375084228516,0.0179143800976941,0.62,-0.4,0.0,455.0,230.0,0.12927302976018867
image_006,probe_5,0.1609329252807735,0.6438181400299072,0.2337028831243515,-0.2110740393400192,0.6702433732927633,0.2038958831243515,-0.0119302564356775,0.51,0.195,0.0,228.0,267.0,0.13930257629778806
image_007,probe_1,0.11899967460905,1.4955178499221802,1.0077723264694214,0.1046119555830955,1.5785502750335412,0.9779653264694214,-0.0065809133687544,1.46,0.97,0.0,147.0,163.0,0.051848493806542446
image_007,probe_2,0.1897210826783309,1.3919646739959717,-0.0432668067514896,0.0707868710160255,1.469673259485106,-0.0730738067514896,-0.0029488236617794,1.28,-0.07,0.0,331.0,168.0,0.11511191008877585
image_007,probe_3,0.1977410868842526,1.1590571403503418,-0.7014515399932861,0.0014115059748291,1.2270839964982014,-0.7312585399932862,0.0115187257837859,1.03,-0.72,0.0,481.0,181.0,0.13038324602504908
image_007,probe_4,0.1150329858968986,0.9940464496612548,0.3932020664215088,-0.0787550806999206,1.0446060806424526,0.3633950664215087,-0.0073762440683213,0.93,0.37,0.0,219.0,202.0,0.0681196271308038
image_007,probe_5,0.2169582406061576,0.6418300867080688,-0.0845010355114936,-0.2171644568443298,0.6662921687887653,-0.1143080355114936,-0.0169734225399094,0.45,-0.115,0.0,357.0,270.0,0.19423946303801495
image_008,probe_1,0.1341160671533965,1.380507469177246,0.4539361894130707,0.0545346997678279,1.453348438722455,0.4241291894130706,-0.0143022742212475,1.32,0.425,0.0,237.0,171.0,0.06707053663110563
image_008,probe_2,0.142342073726012,1.0953874588012695,0.4274483323097229,-0.0448237098753452,1.1514406914269797,0.3976413323097229,-0.0101518517621532,1.01,0.41,0.0,221.0,192.0,0.08715195018431326
image_008,probe_3,0.2160658857385946,0.9097970724105836,-0.7667763829231262,-0.106545515358448,0.9559326740891964,-0.7965833829231262,-0.0046757263629995,0.745,-0.75,0.0,543.0,212.0,0.16564879142053074
image_008,probe_4,0.1778067972397378,0.7886135578155518,-0.1210344061255455,-0.1560407131910324,0.8251290650067109,-0.1508414061255455,-0.0097387955001166,0.65,-0.18,0.0,363.0,233.0,0.15063419157433153
image_008,probe_5,0.1628827920372186,0.5431529879570007,0.2433786541223526,-0.2535821497440338,0.5611104427066774,0.2135716541223526,-0.0174453043660071,0.4,0.23,0.0,205.0,304.0,0.14377679349304856
image_009,probe_1,0.1087052249410891,1.2913810014724731,-0.7423851490020752,0.046046607196331,1.3666938560657014,-0.7721921490020752,0.0082045750832661,1.275,-0.83,0.0,473.0,172.0,0.08913304283277738
image_009,probe_2,0.1097029267149942,1.1989669799804688,0.6906212568283081,0.0014588790945708,1.2646031808565843,0.6608142568283081,-0.0020867271155696,1.155,0.665,0.0,173.0,181.0,0.050887563609049516
image_009,probe_3,0.1458808006628094,1.070106029510498,0.5207745432853699,-0.0519847497344017,1.1252346990005653,0.4909675432853698,-0.0082342700053549,0.98,0.48,0.0,196.0,194.0,0.09890227466685107
image_009,probe_4,0.1541971943139669,0.9313308000564576,-0.182429239153862,-0.0880542173981666,0.9824921554346908,-0.212236239153862,0.0053354412632526,0.83,-0.19,0.0,373.0,205.0,0.10161322482763363
image_009,probe_5,0.1618115735098971,0.7768418788909912,-0.1373666822910308,-0.150903895497322,0.8158242003108811,-0.1671736822910308,-0.0008856145060526,0.655,-0.185,0.0,369.0,232.0,0.13082192632601986
image_010,probe_1,0.1597589918127633,1.4709113836288452,-0.8853817582130432,0.1150749325752258,1.5590063091245387,-0.9151887582130432,0.0116669760305877,1.4,-0.905,0.0,480.0,161.0,0.0735751298943384
image_010,probe_2,0.2206522469670547,1.2981384992599487,-0.7031164765357971,0.0314188040792942,1.3680408235529409,-0.7329234765357971,-0.0078522639259178,1.15,-0.7,0.0,464.0,175.0,0.14817127720644116
image_010,probe_3,0.1520093319827743,1.0675923824310305,0.1749606281518936,-0.0559521950781345,1.1215156971636293,0.1451536281518936,-0.0111027311838423,0.97,0.14,0.0,280.0,195.0,0.10366541674704968
image_010,probe_4,0.178577216743248,0.9242179989814758,0.5884621739387512,-0.101543091237545,0.9711948421875664,0.5586551739387512,-0.004907232703211,0.795,0.53,0.0,157.0,210.0,0.14182777246513278
image_010,probe_5,0.191424730516632,0.509641170501709,-0.2749589681625366,-0.2692027688026428,0.5242770687655542,-0.3047659681625366,-0.0206621682183271,0.335,-0.285,0.0,464.0,319.0,0.17492958799061964
